X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,County,FIPS,Incident_Rate
-73.97723916,42.60060306,1873,New York,US,2023/03/10 13:21:02+00,42.60060306,-73.97723916,79420,617,Albany,36001,25996.2161135952
-78.02750466,42.25748406,1874,New York,US,2023/03/10 13:21:02+00,42.25748406,-78.02750466,10902,164,Allegany,36003,23653.2077846
-73.86282755,40.85209301,1875,New York,US,2023/03/10 13:21:02+00,40.85209301,-73.86282755,553117,8529,Bronx,36005,39001.1472232192
-75.81326086,42.15903158,1876,New York,US,2023/03/10 13:21:02+00,42.15903158,-75.81326086,59296,604,Broome,36007,31128.4700348578
-78.67923096,42.2477824100001,1877,New York,US,2023/03/10 13:21:02+00,42.24778241,-78.67923096,19417,252,Cattaraugus,36009,25509.4131402972
-76.55731592,42.9126171400001,1878,New York,US,2023/03/10 13:21:02+00,42.91261714,-76.55731592,20651,182,Cayuga,36011,26967.9795236105
-79.36691763,42.2276921000001,1879,New York,US,2023/03/10 13:21:02+00,42.2276921,-79.36691763,29741,340,Chautauqua,36013,23436.0101810044
-76.7638805,42.1389105600001,1880,New York,US,2023/03/10 13:21:02+00,42.13891056,-76.7638805,26845,265,Chemung,36015,32166.650690184
-75.60887553,42.4943004100001,1881,New York,US,2023/03/10 13:21:02+00,42.49430041,-75.60887553,11907,141,Chenango,36017,25222.9542228907
-73.67875352,44.7453090500001,1882,New York,US,2023/03/10 13:21:02+00,44.74530905,-73.67875352,22943,132,Clinton,36019,28505.9327825061
-73.63089095,42.2481934800001,1883,New York,US,2023/03/10 13:21:02+00,42.24819348,-73.63089095,14041,175,Columbia,36021,23613.7972788887
-76.07048931,42.5950920700001,1884,New York,US,2023/03/10 13:21:02+00,42.59509207,-76.07048931,13569,135,Cortland,36023,28517.685630819
-74.96709306,42.1983762300001,1885,New York,US,2023/03/10 13:21:02+00,42.19837623,-74.96709306,10245,93,Delaware,36025,23212.8696046222
-73.74356679,41.7648606000001,1886,New York,US,2023/03/10 13:21:02+00,41.7648606,-73.74356679,85482,739,Dutchess,36027,29053.9667865324
